ref_name,subject_name,vaccination_date_cmp,vaccination_date,vaccine_name,dosage,location,section
Garcia-Beltran22,mRNA_2dose_1m,~,2021-01-01,mRNA-1273,1,USA,NULL
Garcia-Beltran22,mRNA_2dose_1m,~,2021-02-01,mRNA-1273,2,USA,NULL
Garcia-Beltran22,mRNA_2dose_6m,~,2021-01-01,mRNA-1273,1,USA,NULL
Garcia-Beltran22,mRNA_2dose_6m,~,2021-02-01,mRNA-1273,2,USA,NULL
Garcia-Beltran22,Infection_mRNA_2dose_6m,~,2021-01-01,mRNA-1273,1,USA,NULL
Garcia-Beltran22,Infection_mRNA_2dose_6m,~,2021-02-01,mRNA-1273,2,USA,NULL
Garcia-Beltran22,mRNA_3dose_1m,~,2021-01-01,mRNA-1273,1,USA,NULL
Garcia-Beltran22,mRNA_3dose_1m,~,2021-02-01,mRNA-1273,2,USA,NULL
Garcia-Beltran22,mRNA_3dose_1m,~,2021-08-01,mRNA-1273,3,USA,NULL
Garcia-Beltran22,BNT_2dose_1m,~,2021-01-01,BNT162b2,1,USA,NULL
Garcia-Beltran22,BNT_2dose_1m,~,2021-02-01,BNT162b2,2,USA,NULL
Garcia-Beltran22,BNT_2dose_6m,~,2021-01-01,BNT162b2,1,USA,NULL
Garcia-Beltran22,BNT_2dose_6m,~,2021-02-01,BNT162b2,2,USA,NULL
Garcia-Beltran22,Infection_BNT_2dose_6m,~,2021-01-01,BNT162b2,1,USA,NULL
Garcia-Beltran22,Infection_BNT_2dose_6m,~,2021-02-01,BNT162b2,2,USA,NULL
Garcia-Beltran22,BNT_3dose_1m,~,2021-01-01,BNT162b2,1,USA,NULL
Garcia-Beltran22,BNT_3dose_1m,~,2021-02-01,BNT162b2,2,USA,NULL
Garcia-Beltran22,BNT_3dose_1m,~,2021-08-01,BNT162b2,3,USA,NULL
Garcia-Beltran22,Ad26_1dose_1m,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Garcia-Beltran22,Ad26_1dose_6m,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Garcia-Beltran22,Infection_Ad26_1dose_6m,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Garcia-Beltran22,Ad26_mRNA_2dose_1m,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Garcia-Beltran22,Ad26_mRNA_2dose_1m,~,2021-07-01,mRNA-1273,2,USA,NULL
