ref_name,subject_name,vaccination_date_cmp,vaccination_date,vaccine_name,dosage,location,section
Hao22,BNT162b2_2dose_Fig1B,~,2021-01-01,BNT162b2,1,USA,NULL
Hao22,BNT162b2_2dose_Fig1B,~,2021-02-01,BNT162b2,2,USA,NULL
Hao22,mRNA1273_2dose_Fig1B,~,2021-01-01,mRNA-1273,1,USA,NULL
Hao22,mRNA1273_2dose_Fig1B,~,2021-02-01,mRNA-1273,2,USA,NULL
Hao22,mRNA1273_2dose_Fig3B,~,2021-01-01,mRNA-1273,1,USA,NULL
Hao22,mRNA1273_2dose_Fig3B,~,2021-02-01,mRNA-1273,2,USA,NULL
Hao22,BNT162b2_2dose_Fig3B,~,2021-01-01,BNT162b2,1,USA,NULL
Hao22,BNT162b2_2dose_Fig3B,~,2021-02-01,BNT162b2,2,USA,NULL
Hao22,Ad26_COV2_S_1dose_Fig3B,~,2021-01-01,Ad26.COV2.S,1,USA,NULL
Hao22,SinoVac_1dose_Fig3B,~,2021-01-01,CoronaVac or BBIBP-CorV,1,USA,NULL
Hao22,BNT162b2_2dose_Fig4B,~,2021-01-01,BNT162b2,1,USA,NULL
Hao22,BNT162b2_2dose_Fig4B,~,2021-02-01,BNT162b2,2,USA,NULL
Hao22,mRNA_3dose_Fig4B,~,2021-01-01,BNT162b2 + mRNA-1273,1,USA,NULL
Hao22,mRNA_3dose_Fig4B,~,2021-02-01,BNT162b2 + mRNA-1273,2,USA,NULL
Hao22,mRNA_3dose_Fig4B,~,2021-08-01,BNT162b2 + mRNA-1273,3,USA,NULL
