ref_name,subject_name,event,event_date_cmp,event_date,location,iso_name,vaccine_name,severity
Cheng22,BNT162b2_2_doses,1st dose,~,2021-01-01,China,NULL,BNT162b2,NULL
Cheng22,BNT162b2_2_doses,2nd dose,~,2021-02-01,China,NULL,BNT162b2,NULL
Cheng22,BNT162b2_2_doses,2nd dose isolation,~,2021-03-01,China,NULL,NULL,NULL
Cheng22,BNT162b2_3_doses,1st dose,~,2021-01-01,China,NULL,BNT162b2,NULL
Cheng22,BNT162b2_3_doses,2nd dose,~,2021-02-01,China,NULL,BNT162b2,NULL
Cheng22,BNT162b2_3_doses,3rd dose,~,2021-08-01,China,NULL,BNT162b2,NULL
Cheng22,BNT162b2_3_doses,3rd dose isolation,~,2021-09-01,China,NULL,NULL,NULL
Cheng22,CoronaVac_2_doses,1st dose,~,2021-01-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_2_doses,2nd dose,~,2021-02-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_2_doses,2nd dose isolation,~,2021-03-01,China,NULL,NULL,NULL
Cheng22,CoronaVac_3_doses,1st dose,~,2021-01-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_3_doses,2nd dose,~,2021-02-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_3_doses,3rd dose,~,2021-08-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_3_doses,3rd dose isolation,~,2021-09-01,China,NULL,NULL,NULL
Cheng22,CoronaVac_2_doses_BNT162b2_1_dose,1st dose,~,2021-01-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_2_doses_BNT162b2_1_dose,2nd dose,~,2021-02-01,China,NULL,CoronaVac,NULL
Cheng22,CoronaVac_2_doses_BNT162b2_1_dose,3rd dose,~,2021-08-01,China,NULL,BNT162b2,NULL
Cheng22,CoronaVac_2_doses_BNT162b2_1_dose,3rd dose isolation,~,2021-09-01,China,NULL,NULL,NULL
Cheng22,CP,infection,~,2021-01-01,China,Unknown variant,NULL,NULL
Cheng22,CP,isolation,~,2021-07-16,China,Unknown variant,NULL,NULL
Cheng22,CP_BNT162b2_1_dose,1st dose,~,2021-01-01,China,NULL,BNT162b2,NULL
Cheng22,CP_BNT162b2_1_dose,infection,~,2021-02-01,China,Unknown variant,NULL,NULL
Cheng22,CP_BNT162b2_1_dose,isolation,~,2021-03-01,China,NULL,NULL,NULL
Cheng22,CP_CoronaVac_1_dose,1st dose,~,2021-01-01,China,NULL,CoronaVac,NULL
Cheng22,CP_CoronaVac_1_dose,infection,~,2021-02-01,China,Unknown variant,NULL,NULL
Cheng22,CP_CoronaVac_1_dose,isolation,~,2021-03-01,China,NULL,NULL,NULL
