ref_name,patient_name,event,event_date_cmp,event_date,location,iso_name,vaccine_name,severity
Garcia-Beltran21,BNT162b2,2nd dose,~,2021-03-01,USA,NULL,BNT162b2,NULL
Garcia-Beltran21,BNT162b2,2nd dose isolation,<,2021-04-01,USA,NULL,BNT162b2,NULL
Garcia-Beltran21,mRNA-1273,2nd dose,~,2021-03-01,USA,NULL,mRNA-1273,NULL
Garcia-Beltran21,mRNA-1273,2nd dose isolation,<,2021-04-01,USA,NULL,mRNA-1273,NULL
